ID,Last,First,nickname,play_debut,HOF
andre101,Andrews,George Edward,Ed,05/01/1884,NOT
andre102,Andrews,Elbert DeVore,Elbert,05/01/1925,NOT
andre103,Andres,Ernest Henry,Ernie,04/16/1946,NOT
andrf101,Andrews,Fred,Fred,09/26/1976,NOT
andrf102,Andrus,Frederick Hotham,Fred,07/25/1876,NOT
andrh101,Andrews,Hubert Carl,Hub,04/20/1947,NOT
andri101,Andrews,Ivy Paul,Ivy,08/15/1931,NOT
andrj001,Andreoli,John Francis,John,05/23/2018,NOT
andrj101,Andrews,John Richard,John,04/08/1973,NOT
andrj102,Andre,John Edward,John,04/16/1955,NOT
andrj103,Andrews,James Pratt,Jim,04/19/1890,NOT
andrk101,Andrew,Kim Darrell,Kim,04/16/1975,NOT
andrm001,Andriese,Matthew Lee,Matt,04/10/2015,NOT
andrm101,Andrews,Michael Jay,Mike,09/18/1966,NOT
andrn101,Andrews,Nathan Hardy,Nate,05/01/1937,NOT
andrr101,Andrews,Robert Patrick,Rob,04/07/1975,NOT
andrs001,Andrews,Darrell Shane,Shane,04/26/1995,NOT
andrs002,Andrade,Stephen Michael,Steve,05/01/2006,NOT
andrs101,Andrews,Stanley Joseph,Stan,06/11/1939,NOT
andrw101,Andrus,William Wiman,Wyman,09/15/1885,NOT
andrw102,Andrews,William Walter,Wally,05/22/1884,NOT
anduj001,Andujar,Joaquin,Joaquin,04/08/1976,NOT
andul001,Andujar,Luis (Sanchez),Luis,09/08/1995,NOT
andum001,Andujar,Miguel Enrique,Miguel,06/28/2017,NOT
