signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Rex Brothers,Brian Fuentes,2009,Rex,Brothers,Brian,Fuentes,brotr001,fuenb001
Matt Davidson,Orlando Hudson,2009,Matt,Davidson,Orlando,Hudson,davim005,hudso001
Aaron Miller,Derek Lowe,2009,Aaron,Miller,Derek,Lowe,Aaron Miller,lowed001
Noah Syndergaard,A.J. Burnett,2009,Noah,Syndergaard,A.J.,Burnett,syndn001,burna001
Josh Phegley,Orlando Cabrera,2009,Josh,Phegley,Orlando,Cabrera,phegj001,cabro001
Kentrail Davis,CC Sabathia,2009,Kentrail,Davis,CC,Sabathia,Kentrail Davis,sabac001
Tyler Skaggs,Mark Teixeira,2009,Tyler,Skaggs,Mark,Teixeira,skagt001,teixm001
Chris Owings,Juan Cruz,2009,Chris,Owings,Juan,Cruz,owinc001,cruzj005
Garrett Richards,Francisco Rodriguez,2009,Garrett,Richards,Francisco,Rodriguez,richg002,rodrf003
Brad Boxberger,Jeremy Affeldt,2009,Brad,Boxberger,Jeremy,Affeldt,boxbb001,affej001
Tanner Scheppers,Milton Bradley,2009,Tanner,Scheppers,Milton,Bradley,schet001,bradm001
Mike Belfiore,Brandon Lyon,2009,Mike,Belfiore,Brandon,Lyon,belfm001,lyonb003
Matt Bashore,Dennys Reyes,2009,Matt,Bashore,Dennys,Reyes,Matt Bashore,reyed001
Kyle Heckathorn,Brian Shouse,2009,Kyle,Heckathorn,Brian,Shouse,Kyle Heckathorn,shoub001
Tyler Kehrer,Jon Garland,2009,Tyler,Kehrer,Jon,Garland,Tyler Kehrer,garlj001
Blake Smith,Derek Lowe,2009,Blake,Smith,Derek,Lowe,smitb006,lowed001
Eric Smith,Juan Cruz,2009,Eric,Smith,Juan,Cruz,Eric Smith,cruzj005
Trayce Thompson,Orlando Cabrera,2009,Trayce,Thompson,Orlando,Cabrera,thomt002,cabro001
Max Walla,CC Sabathia,2009,Max,Walla,CC,Sabathia,Max Walla,sabac001
Jake Marisnick,A.J. Burnett,2009,Jake,Marisnick,A.J.,Burnett,marij002,burna001
Kaleb Cowart,Chone Figgins,2010,Kaleb,Cowart,Chone,Figgins,cowak001,figgc001
Mike Foltynewicz,Jose Valverde,2010,Mike,Foltynewicz,Jose,Valverde,foltm001,valvj001
Kolbrin Vitek,Billy Wagner,2010,Kolbrin,Vitek,Billy,Wagner,Kolbrin Vitek,wagnb001
Cam Bedrosian,John Lackey,2010,Cam,Bedrosian,John,Lackey,bedrc001,lackj001
Mike Kvasnicka,Jose Valverde,2010,Mike,Kvasnicka,Jose,Valverde,Mike Kvasnicka,valvj001
Aaron Sanchez,Marco Scutaro,2010,Aaron,Sanchez,Marco,Scutaro,sanca006,scutm001
Matt Lipka,Mike Gonzalez,2010,Matt,Lipka,Mike,Gonzalez,Matt Lipka,gonzm001
Bryce Brentz,Billy Wagner,2010,Bryce,Brentz,Billy,Wagner,brenb002,wagnb001
Taylor Lindsey,Chone Figgins,2010,Taylor,Lindsey,Chone,Figgins,Taylor Lindsey,figgc001
Anthony Ranaudo,Jason Bay,2010,Anthony,Ranaudo,Jason,Bay,ranaa001,bay-j001
